geo_code,age_band,sex,population
1111051500,0-4,M,95
1111051500,0-4,F,97
1111051500,5-9,M,147
1111051500,5-9,F,121
1111051500,10-14,M,214
1111051500,10-14,F,219
1111051500,15-19,M,278
1111051500,15-19,F,255
1111051500,20-24,M,243
1111051500,20-24,F,232
1111051500,25-29,M,331
1111051500,25-29,F,381
1111051500,30-34,M,377
1111051500,30-34,F,444
1111051500,35-39,M,309
1111051500,35-39,F,373
1111051500,40-44,M,340
1111051500,40-44,F,424
1111051500,45-49,M,387
1111051500,45-49,F,504
1111051500,50-54,M,428
1111051500,50-54,F,514
1111051500,55-59,M,387
1111051500,55-59,F,499
1111051500,60-64,M,324
1111051500,60-64,F,413
1111051500,65-69,M,307
1111051500,65-69,F,364
1111051500,70-74,M,230
1111051500,70-74,F,299
1111051500,75-79,M,160
1111051500,75-79,F,259
1111051500,80-84,M,134
1111051500,80-84,F,224
1111051500,85-89,M,88
1111051500,85-89,F,128
1111051500,90-94,M,28
1111051500,90-94,F,59
1111051500,95-99,M,4
1111051500,95-99,F,12
1111051500,100+,M,2
1111051500,100+,F,1
1111053000,0-4,M,79
1111053000,0-4,F,75
1111053000,5-9,M,109
1111053000,5-9,F,107
1111053000,10-14,M,138
1111053000,10-14,F,168
1111053000,15-19,M,129
1111053000,15-19,F,151
1111053000,20-24,M,143
1111053000,20-24,F,224
1111053000,25-29,M,279
1111053000,25-29,F,348
1111053000,30-34,M,363
1111053000,30-34,F,405
1111053000,35-39,M,275
1111053000,35-39,F,372
1111053000,40-44,M,285
1111053000,40-44,F,393
1111053000,45-49,M,288
1111053000,45-49,F,394
1111053000,50-54,M,296
1111053000,50-54,F,382
1111053000,55-59,M,350
1111053000,55-59,F,427
1111053000,60-64,M,304
1111053000,60-64,F,337
1111053000,65-69,M,289
1111053000,65-69,F,352
1111053000,70-74,M,192
1111053000,70-74,F,240
1111053000,75-79,M,124
1111053000,75-79,F,202
1111053000,80-84,M,125
1111053000,80-84,F,161
1111053000,85-89,M,88
1111053000,85-89,F,126
1111053000,90-94,M,35
1111053000,90-94,F,48
1111053000,95-99,M,10
1111053000,95-99,F,20
1111053000,100+,M,4
1111053000,100+,F,2
1111054000,0-4,M,15
1111054000,0-4,F,13
1111054000,5-9,M,15
1111054000,5-9,F,20
1111054000,10-14,M,28
1111054000,10-14,F,37
1111054000,15-19,M,44
1111054000,15-19,F,31
1111054000,20-24,M,45
1111054000,20-24,F,28
1111054000,25-29,M,66
1111054000,25-29,F,60
1111054000,30-34,M,61
1111054000,30-34,F,72
1111054000,35-39,M,64
1111054000,35-39,F,69
1111054000,40-44,M,60
1111054000,40-44,F,83
1111054000,45-49,M,78
1111054000,45-49,F,71
1111054000,50-54,M,61
1111054000,50-54,F,77
1111054000,55-59,M,86
1111054000,55-59,F,77
1111054000,60-64,M,83
1111054000,60-64,F,89
1111054000,65-69,M,75
1111054000,65-69,F,100
1111054000,70-74,M,67
1111054000,70-74,F,82
1111054000,75-79,M,51
1111054000,75-79,F,52
1111054000,80-84,M,37
1111054000,80-84,F,59
1111054000,85-89,M,19
1111054000,85-89,F,30
1111054000,90-94,M,7
1111054000,90-94,F,20
1111054000,95-99,M,2
1111054000,95-99,F,6
1111054000,100+,M,0
1111054000,100+,F,0
1111055000,0-4,M,77
1111055000,0-4,F,52
1111055000,5-9,M,96
1111055000,5-9,F,90
1111055000,10-14,M,181
1111055000,10-14,F,171
1111055000,15-19,M,218
1111055000,15-19,F,162
1111055000,20-24,M,230
1111055000,20-24,F,233
1111055000,25-29,M,276
1111055000,25-29,F,290
1111055000,30-34,M,315
1111055000,30-34,F,296
1111055000,35-39,M,258
1111055000,35-39,F,286
1111055000,40-44,M,284
1111055000,40-44,F,342
1111055000,45-49,M,293
1111055000,45-49,F,394
1111055000,50-54,M,356
1111055000,50-54,F,402
1111055000,55-59,M,357
1111055000,55-59,F,448
1111055000,60-64,M,319
1111055000,60-64,F,380
1111055000,65-69,M,312
1111055000,65-69,F,360
1111055000,70-74,M,213
1111055000,70-74,F,269
1111055000,75-79,M,146
1111055000,75-79,F,199
1111055000,80-84,M,120
1111055000,80-84,F,159
1111055000,85-89,M,66
1111055000,85-89,F,112
1111055000,90-94,M,26
1111055000,90-94,F,45
1111055000,95-99,M,6
1111055000,95-99,F,22
1111055000,100+,M,1
1111055000,100+,F,4
1111056000,0-4,M,182
1111056000,0-4,F,167
1111056000,5-9,M,249
1111056000,5-9,F,232
1111056000,10-14,M,369
1111056000,10-14,F,334
